,지역,매장명,현황,주소,전화번호
69,강원 춘천시,춘천강원대점,영업중,강원특별자치도 춘천시 서부대성로 229 (효자동) .,033-253-0425
70,인천 연수구,송도대홍프라자점,영업중,인천광역시 연수구 해돋이로152번길 9 (송도동) .,032-710-3810
71,전남 순천시,순천조례점,영업중,"전라남도 순천시 충효로 109 (조례동, 디지털프라자전자랜드) 조례동 1264",061-902-7288
72,경남 진주시,진주혁신도시점,영업중,경상남도 진주시 에나로128번길 24 (충무공동) .,.
73,충남 논산시,논산내동점,영업중,"충청남도 논산시 대학로65번길 6-5 (내동) 101,102,201호",041-733-4855
74,서울 구로구,오류동점,영업중,"서울특별시 구로구 경인로 224 (오류동, 칸타빌레5차) .",02-2625-4854
75,경기 부천시 원미구,부천역점,영업중,"경기도 부천시 부일로 448 (심곡동, 프리존빌딩) 110호, 204호",032-665-8255
76,경기 화성시,화성병점점,영업중,"경기도 화성시 병점동로 105 1,2층(진안동)",031-233-4686
77,전북 군산시,군산은파유원지DI점,영업중,전라북도 군산시 백토로 284-35 (나운동) .,063-467-1199
78,서울 송파구,잠실학원사거리점,영업중,"서울특별시 송파구 석촌호수로 130 (삼전동, 신원빌딩) 삼전동 1-1외 3필지",02-3431-4662
79,경북 구미시,구미시청점,영업중,경상북도 구미시 송정대로 54 (송정동) .,054-452-8297
80,경기 화성시,화성향남DT점,영업중,"경기도 화성시 향남읍 향남로 306 방축리294,295-2번지",070-7575-0745
81,서울 강서구,발산역점,영업중,서울특별시 강서구 강서로 357 (내발산동) .,02-2663-4976
82,서울 양천구,목동파리공원점,영업중,"서울특별시 양천구 목동서로 57 (목동, 현대파리지앙) .",02-2645-8497
83,인천 부평구,인천한길안과병원점,영업중,"인천광역시 부평구 부평대로 37 (부평동, 정명빌딩한길안과병원) .",032-503-3379
84,서울 은평구,북한산DI점,영업중,"서울특별시 은평구 북한산로 248-8 (진관동, 자돈) .",02-3157-4843
85,울산 중구,울산성남점,영업중,"울산광역시 중구 만남의거리 33, 1F 성남동 256-16",052-211-4741
86,경북 구미시,구미상모사곡점,영업중,경상북도 구미시 박정희로 259 (사곡동) .,054-457-7772
87,서울 구로구,신도림테크노마트점,영업중,"서울특별시 구로구 새말로 97 (구로동, 신도림테크노마트) 104~106호",02-2111-1300
88,제주 제주시,제주황사평DT점,영업중,제주특별자치도 제주시 연북로 756 1~2층,064-722-2529
89,서울 중구,KG타워점,영업중,"서울특별시 중구 통일로 92 (순화동, 케이지타워) 1층",02-777-5559
